INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,HOME_VAL,TRAVTIME,BLUEBOOK,TIF,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE,PARENT1_Yes,MSTATUS_z_No,SEX_z_F,EDUCATION_Bachelors,EDUCATION_Masters,EDUCATION_PhD,EDUCATION_z_High School,JOB_Doctor,JOB_Home Maker,JOB_Lawyer,JOB_Manager,JOB_Professional,JOB_Student,JOB_z_Blue Collar,CAR_USE_Private,CAR_TYPE_Panel Truck,CAR_TYPE_Pickup,CAR_TYPE_Sports Car,CAR_TYPE_Van,CAR_TYPE_z_SUV,RED_CAR_yes,REVOKED_Yes,URBANICITY_z_Highly Rural/ Rural
1,0,0.0,0,60.0,0,11.0,67349.0,0.0,14,14230.0,11,4461.0,2,3,18.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2,0,0.0,0,43.0,0,11.0,91449.0,257252.0,22,14940.0,1,0.0,0,0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,0,0.0,0,35.0,1,10.0,16039.0,124191.0,5,4010.0,4,38690.0,2,3,10.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,0,0.0,0,51.0,0,14.0,,306251.0,32,15440.0,7,0.0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
6,0,0.0,0,50.0,0,,114986.0,243925.0,36,18000.0,1,19217.0,2,3,17.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
7,1,2946.0,0,34.0,1,12.0,125301.0,0.0,46,17430.0,1,0.0,0,0,7.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8,0,0.0,0,54.0,0,,18755.0,,33,8780.0,1,0.0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
11,1,4021.0,1,37.0,2,,107961.0,333680.0,44,16970.0,1,2374.0,1,10,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
12,1,2501.0,0,34.0,0,10.0,62978.0,0.0,34,11200.0,1,0.0,0,0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,0,0.0,0,50.0,0,7.0,106952.0,0.0,48,18510.0,7,0.0,0,1,17.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
14,1,6077.0,0,53.0,0,14.0,77100.0,0.0,15,18300.0,1,0.0,0,0,11.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
15,0,0.0,0,43.0,0,5.0,52642.0,209970.0,36,22420.0,7,0.0,0,0,1.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
16,0,0.0,0,55.0,0,11.0,59162.0,180232.0,25,17600.0,7,5028.0,2,3,9.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
17,1,1267.0,0,53.0,0,11.0,130795.0,0.0,64,28340.0,6,0.0,0,3,10.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19,1,2920.16732,0,45.0,0,0.0,0.0,106859.0,48,6000.0,1,0.0,0,3,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20,0,0.0,0,39.0,3,12.0,51884.0,180951.0,43,10590.0,6,0.0,0,0,13.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
22,0,0.0,0,42.0,0,11.0,59945.0,192207.0,42,14190.0,6,0.0,0,0,16.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,0.0,0,34.0,3,13.0,34019.0,91875.0,27,8300.0,7,0.0,0,0,20.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
24,0,0.0,0,31.0,2,12.0,18903.0,93797.0,48,17330.0,4,0.0,0,0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,1,6857.0,0,28.0,1,13.0,44077.0,170598.0,29,8710.0,6,8935.0,2,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
26,1,3627.0,0,43.0,0,13.0,37214.0,,52,26560.0,1,0.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
27,0,0.0,0,48.0,0,14.0,96274.0,282904.0,36,11130.0,6,8250.0,1,5,14.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
28,0,0.0,0,47.0,0,11.0,46281.0,0.0,29,19700.0,10,0.0,0,1,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
29,0,0.0,2,44.0,2,0.0,0.0,82344.0,8,5900.0,6,3338.0,3,0,11.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
32,0,0.0,0,33.0,1,13.0,79606.0,225962.0,27,16830.0,9,0.0,0,2,15.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
33,1,4486.0,0,32.0,1,9.0,31275.0,118160.0,26,10030.0,1,0.0,0,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
34,0,0.0,1,44.0,2,17.0,45488.0,219378.0,16,22090.0,17,0.0,0,0,12.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
35,0,0.0,0,35.0,0,8.0,72193.0,0.0,26,12220.0,6,0.0,0,3,12.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
36,0,0.0,0,40.0,2,0.0,,98777.0,15,14130.0,6,38127.0,2,4,12.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
38,0,0.0,0,49.0,0,5.0,49244.0,163444.0,30,15880.0,1,0.0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,0,0.0,0,52.0,0,8.0,51278.0,230340.0,37,1500.0,4,0.0,0,1,10.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
41,0,0.0,0,41.0,0,7.0,92842.0,286113.0,12,25810.0,6,1431.0,2,5,15.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,0,0.0,0,39.0,0,10.0,35081.0,202839.0,38,16640.0,4,0.0,0,0,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
43,0,0.0,0,56.0,0,0.0,0.0,63827.0,65,13220.0,1,0.0,0,0,12.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,0,0.0,0,49.0,0,12.0,115044.0,311980.0,18,17900.0,1,0.0,0,0,14.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,0,0.0,0,38.0,0,11.0,37754.0,138823.0,47,12080.0,1,0.0,0,2,9.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
46,0,0.0,0,43.0,2,17.0,145353.0,418785.0,38,29450.0,6,0.0,0,0,15.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,0,0.0,0,63.0,0,15.0,121398.0,343410.0,10,16270.0,1,0.0,0,0,11.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
49,0,0.0,0,52.0,0,0.0,0.0,87925.0,48,9280.0,1,0.0,0,1,6.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
50,0,0.0,0,35.0,0,7.0,14508.0,0.0,22,6450.0,1,0.0,0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
51,0,0.0,0,43.0,0,13.0,75338.0,270555.0,40,23080.0,1,0.0,0,0,8.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
52,0,0.0,0,41.0,0,10.0,32774.0,0.0,44,20120.0,4,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
53,0,0.0,0,40.0,0,11.0,57474.0,186418.0,5,29270.0,4,0.0,0,1,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54,0,0.0,0,31.0,1,12.0,26520.0,154493.0,62,4600.0,6,0.0,0,2,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
55,0,0.0,0,47.0,0,8.0,18444.0,0.0,35,19450.0,6,2981.0,2,5,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
56,0,0.0,0,53.0,0,,107259.0,343700.0,36,29230.0,10,0.0,0,0,15.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
57,0,0.0,0,39.0,3,7.0,34046.0,183383.0,33,4040.0,6,0.0,0,0,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
58,0,0.0,0,33.0,3,14.0,32364.0,152894.0,40,12270.0,18,0.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
